Date,Time,PT-5030,PDT-5090,TE-5024,TE-5070,TE-5071,TE-5072,TE-5080,TE-5081,FTC-1100,FTC-2100,FTC-3100,FTC-5238,PDT-5103,PT-5070,TE-5082,TE-5086
1/28/2013,23:41.2,2.95E-02,-0.01,1.48E+01,1.34E+01,1.36E+01,2.14E+01,1.53E+01,1.60E+01,-2.48E-03,-1.55E-02,4.16E-02,-1.78E-02,1.43E-03,9.12E+01,1.37E+01,2.16E+01
1/28/2013,23:46.2,1.96E-02,-0.01,1.46E+01,1.33E+01,1.40E+01,2.14E+01,1.56E+01,1.60E+01,-4.88E-03,-4.05E-03,-6.97E-02,-1.19E-02,-1.59E-02,9.10E+01,1.40E+01,2.16E+01
1/28/2013,23:51.1,2.44E-02,-0.01,1.48E+01,1.40E+01,1.49E+01,2.15E+01,1.68E+01,1.67E+01,-9.77E-03,-1.80E-02,-6.74E-02,-9.25E-03,-7.39E-03,9.09E+01,1.51E+01,2.22E+01
1/28/2013,23:56.1,4.97E-04,-0.01,1.44E+01,1.40E+01,1.46E+01,2.14E+01,1.67E+01,1.65E+01,-2.47E-02,9.00E-04,-1.35E-01,1.21E-03,2.54E-02,9.09E+01,1.50E+01,2.20E+01
1/28/2013,24:01.1,3.09E-02,-0.01,1.45E+01,1.48E+01,1.44E+01,2.16E+01,1.68E+01,1.71E+01,-9.01E-04,9.28E-03,-4.30E-02,9.90E-03,4.63E-03,9.09E+01,1.51E+01,2.26E+01
1/28/2013,24:06.1,1.11E-02,0.00,1.52E+01,1.44E+01,1.46E+01,2.17E+01,1.64E+01,1.66E+01,3.25E-02,-4.21E-03,9.51E-02,1.44E-03,-2.52E-03,9.13E+01,1.47E+01,2.21E+01
1/28/2013,24:11.0,4.03E-02,-0.01,1.48E+01,1.44E+01,1.41E+01,2.16E+01,1.64E+01,1.58E+01,-2.22E-03,-5.40E-03,-6.64E-02,-1.55E-02,-5.35E-03,9.06E+01,1.47E+01,2.13E+01
1/28/2013,24:16.0,6.17E-02,-0.01,1.48E+01,1.44E+01,1.40E+01,2.15E+01,1.64E+01,1.54E+01,2.53E-03,1.26E-02,-4.50E-02,2.19E-02,5.23E-02,9.06E+01,1.47E+01,2.09E+01
1/28/2013,24:21.0,7.74E-02,-0.01,1.44E+01,1.49E+01,1.44E+01,2.15E+01,1.75E+01,1.57E+01,-1.34E-02,1.85E-02,-4.71E-02,2.54E-02,-7.91E-03,9.08E+01,1.58E+01,2.12E+01
1/28/2013,24:26.0,1.28E-02,-0.01,1.43E+01,1.43E+01,1.41E+01,2.14E+01,1.72E+01,1.60E+01,-9.26E-04,-8.60E-03,-3.95E-02,3.41E-03,-1.41E-02,9.08E+01,1.56E+01,2.15E+01
1/28/2013,24:31.0,2.21E-02,-0.02,1.48E+01,1.41E+01,1.44E+01,2.14E+01,1.70E+01,1.58E+01,2.04E-02,1.40E-02,3.94E-02,1.34E-03,3.74E-02,9.08E+01,1.54E+01,2.13E+01
1/28/2013,24:35.9,1.88E-02,-0.01,1.39E+01,1.44E+01,1.38E+01,2.15E+01,1.69E+01,1.57E+01,-2.48E-02,1.54E-02,-1.93E-01,3.03E-02,-6.16E-03,9.09E+01,1.54E+01,2.13E+01
1/28/2013,24:40.9,1.84E-02,-0.01,1.50E+01,1.51E+01,1.54E+01,2.17E+01,1.80E+01,1.69E+01,-9.68E-03,3.86E-02,6.74E-02,4.54E-02,4.53E-02,9.10E+01,1.63E+01,2.24E+01
1/28/2013,24:45.9,4.37E-02,-0.01,1.48E+01,1.50E+01,1.53E+01,2.18E+01,1.72E+01,1.72E+01,-1.28E-02,3.87E-03,-4.05E-02,8.93E-04,3.08E-02,9.08E+01,1.56E+01,2.28E+01
1/28/2013,24:50.9,1.31E-02,-0.01,1.55E+01,1.41E+01,1.56E+01,2.16E+01,1.72E+01,1.65E+01,9.89E-03,5.68E-03,9.77E-02,-2.45E-02,-1.20E-02,9.10E+01,1.56E+01,2.20E+01
1/28/2013,24:55.9,1.13E-02,-0.01,1.51E+01,1.44E+01,1.50E+01,2.15E+01,1.72E+01,1.60E+01,-2.15E-02,4.36E-02,-9.03E-02,3.63E-02,-2.18E-02,9.09E+01,1.55E+01,2.16E+01
1/28/2013,25:00.8,3.75E-02,-0.02,1.55E+01,1.45E+01,1.56E+01,2.15E+01,1.77E+01,1.66E+01,-1.16E-02,9.69E-03,2.04E-02,6.25E-03,1.24E-02,9.09E+01,1.61E+01,2.22E+01
1/28/2013,25:05.8,7.00E-02,-0.02,1.50E+01,1.46E+01,1.48E+01,2.16E+01,1.70E+01,1.72E+01,3.71E-02,-1.13E-02,1.48E-01,6.88E-03,-1.07E-02,9.08E+01,1.54E+01,2.27E+01
1/28/2013,25:10.8,8.62E-02,-0.01,1.59E+01,1.42E+01,1.55E+01,2.16E+01,1.66E+01,1.72E+01,2.54E-02,-1.74E-02,1.36E-01,1.10E-02,-2.51E-02,9.08E+01,1.49E+01,2.27E+01
1/28/2013,25:15.8,1.90E-02,-0.01,1.52E+01,1.42E+01,1.47E+01,2.15E+01,1.64E+01,1.62E+01,6.82E-03,-2.74E-02,2.91E-03,-1.13E-02,-4.36E-02,9.05E+01,1.48E+01,2.17E+01
1/28/2013,25:20.7,2.99E-02,-0.02,1.58E+01,1.44E+01,1.59E+01,2.15E+01,1.74E+01,1.66E+01,6.19E-03,6.70E-03,1.30E-01,1.71E-04,-2.72E-02,9.09E+01,1.58E+01,2.22E+01
1/28/2013,25:25.7,9.32E-03,-0.02,1.54E+01,1.41E+01,1.52E+01,2.14E+01,1.74E+01,1.65E+01,-2.61E-02,4.33E-03,1.30E-02,-1.67E-02,-4.20E-02,9.08E+01,1.58E+01,2.20E+01
1/28/2013,25:30.7,3.81E-02,-0.01,1.48E+01,1.51E+01,1.47E+01,2.17E+01,1.74E+01,1.69E+01,1.34E-03,-7.39E-03,-1.16E-01,2.68E-02,-7.18E-04,9.12E+01,1.58E+01,2.25E+01
1/28/2013,25:35.7,5.73E-02,-0.01,1.45E+01,1.46E+01,1.42E+01,2.17E+01,1.69E+01,1.62E+01,2.41E-02,2.76E-03,-1.03E-02,1.17E-02,1.79E-02,9.08E+01,1.54E+01,2.17E+01
1/28/2013,25:40.7,5.47E-02,-0.02,1.48E+01,1.49E+01,1.44E+01,2.18E+01,1.65E+01,1.70E+01,-5.71E-05,2.07E-03,4.28E-02,-3.76E-03,3.70E-02,9.11E+01,1.49E+01,2.26E+01
1/28/2013,25:45.6,1.33E-02,-0.01,1.45E+01,1.42E+01,1.47E+01,2.17E+01,1.67E+01,1.66E+01,-2.63E-02,2.29E-03,-1.92E-01,1.42E-02,-3.60E-02,9.06E+01,1.50E+01,2.22E+01
1/28/2013,25:50.6,2.66E-02,0.00,1.48E+01,1.45E+01,1.53E+01,2.16E+01,1.73E+01,1.63E+01,-2.22E-02,4.37E-02,-9.04E-04,2.88E-02,-3.27E-02,9.05E+01,1.56E+01,2.19E+01
1/28/2013,25:55.6,1.47E-02,0.00,1.44E+01,1.44E+01,1.53E+01,2.15E+01,1.77E+01,1.58E+01,-2.69E-02,-7.88E-04,-8.27E-02,9.03E-03,2.03E-02,9.09E+01,1.60E+01,2.13E+01
